"סוג: ממוצע, זמן מיצוע: 24 שעות, שנתי: 01/01/2016-01/01/2017",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
תאריך ושעה,"ירושלים, רחוב בר אילן",,"באר שבע, שכונה ו",,"חולון, חולון",,"תל אביב-יפו, רחוב יהודה המכבי",,"גדרה, גדרה",,"שדרות, שדרות",,"חיפה, אחוזה",
,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5,NO2,PM2.5
,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
24:00 01/01/2016,17.8,15.7,3.1,2.5,8.8,5.8,13.6,6.3,4.3,5.6,4,4.8,0.8,5.6
24:00 02/01/2016,24.4,14.9,5.4,6.7,13,6.2,16.3,4.4,4.5,6.1,5.9,6.8,0.5,6
24:00 03/01/2016,35.4,23.6,9.6,11.6,34.5,8.5,44.3,11.5,16.7,12.8,12.8,13.9,13.6,7.4
24:00 04/01/2016,40.9,24.6,23.4,17.9,32.5,8.5,43.6,10.8,16.3,&lt;Samp,14.2,11.9,13.2,7.3
24:00 05/01/2016,43.2,28.1,19.9,11.5,33.5,11.3,46.3,10.7,21.2,7.4,15.9,8.2,10.9,9.4
24:00 06/01/2016,60.4,32,27.8,14.2,45.1,12.8,61.1,14.4,37.3,8.6,19.6,10.5,19.8,8.7
24:00 07/01/2016,62.2,46.2,17.8,22.9,49.3,26.4,62.5,25.4,27.6,27.2,15.8,21,16.8,13.9
24:00 08/01/2016,15.6,111.4,4.3,219.7,9,131.4,16.1,112.8,6.7,190,6.4,198,2.6,23.6
24:00 09/01/2016,26.8,20.7,12.1,7.5,18.5,8.7,18.8,6.8,10.1,6.1,7.7,8.2,2.1,7.5
24:00 10/01/2016,67.5,25,21.2,13.6,52.6,12.4,57.2,11.9,27.7,7.7,18.9,9.6,17,7.8
24:00 11/01/2016,77.1,30.4,33.3,23.5,54.6,23.3,64.1,26,38.6,&lt;Samp,24,18.4,17.1,11.2
24:00 12/01/2016,74.7,33.5,35.6,32,54,24.9,61.5,24.1,44.7,16,22.8,24.5,28.5,10.1
24:00 13/01/2016,81.6,41.1,34.2,30.4,60.3,32,71,31.4,42.2,20.2,&lt;Samp,25.8,25.2,13.2
24:00 14/01/2016,55.2,31.8,19.1,23.9,33.3,16.2,51.1,18.7,30.6,16.9,30.4,15.9,15.9,9.8
24:00 15/01/2016,38,26.4,14.2,7.1,39.2,9.4,44.6,10.3,13.4,6.8,18.3,8.5,12.2,5.2
24:00 16/01/2016,35.9,33.5,16.5,17.7,42.6,17.2,45.5,17.2,21.1,InVld,25.3,14,9.6,8.1
24:00 17/01/2016,64.6,25.8,18.9,15.3,64.8,21.5,72.4,25.4,35.8,&lt;Samp,30.5,19.7,15.1,11.5
24:00 18/01/2016,29,105.5,7.9,128.7,17.2,167.5,28.9,169.7,15.4,153.8,19.1,160,2.3,135.8
24:00 19/01/2016,31.2,36.9,8.8,78.6,15.4,53.7,29.3,56,12.3,&lt;Samp,12.4,71.6,3.1,27.8
24:00 20/01/2016,57.5,7.5,21.5,13.3,38.1,12.1,48.6,12.1,27.7,InVld,16.2,17.6,13.1,5.9
24:00 21/01/2016,65.2,23.3,30.6,24.8,53.8,28.7,62.8,24.6,36.5,Down,41.2,15.7,18.2,19.9
24:00 22/01/2016,59.3,21,29.5,33.6,42.9,30.2,52.8,36.1,27.4,Down,30.2,23.5,10.3,32.1
24:00 23/01/2016,21.9,3,9.1,16.2,16.3,14.8,&lt;Samp,&lt;Samp,8.8,Down,13.4,13,2.6,7.7
24:00 24/01/2016,28.5,3.7,6.5,5.2,10.8,6.9,InVld,&lt;Samp,10.4,&lt;Samp,9.7,7.4,1.7,8.9
24:00 25/01/2016,42.6,2.8,8.8,8.9,24.3,4.7,InVld,9,13.9,6.9,11.1,7.6,4.9,5.4
24:00 26/01/2016,47.9,5.3,11.9,8.6,31.8,4.6,&lt;Samp,&lt;Samp,12.5,5.9,&lt;Samp,&lt;Samp,7.2,5.8
24:00 27/01/2016,64,10.4,18.9,17.4,47.6,10.3,49,11.1,19,8.6,Down,NoData,7.9,6.8
24:00 28/01/2016,70.5,16.8,30.8,22.9,54.4,15.6,56.7,15.9,28.5,10.9,&lt;Samp,&lt;Samp,14.8,21.7
24:00 29/01/2016,64.3,14.2,26.5,28.4,48.6,17.3,51.4,19.8,23.6,12.4,18.5,18.2,28.2,15.4
24:00 30/01/2016,38,16.6,19.1,29.5,39.9,19.8,41.4,21.3,25.5,15.2,12.3,17.3,15.2,15.5
24:00 31/01/2016,81.4,21.1,35.8,35.7,63.6,31,70.1,31.1,43.1,19.1,29.3,26.9,25,13.3
24:00 01/02/2016,75,22,32.7,36,65.1,29.4,72.6,29.1,42.3,19.5,34.3,28.5,25.9,13
24:00 02/02/2016,77.5,16.1,28.7,31.5,51.8,20.3,60.9,22.9,32.5,14.2,24.1,19.6,24.3,13.9
24:00 03/02/2016,66.6,13.2,25.6,25.7,52.8,19.1,59.8,21.8,37.4,15.1,22.6,18.9,23.5,16.1
24:00 04/02/2016,59.7,12.9,17,14,67.8,20.6,77.6,&lt;Samp,29.7,11.3,25.8,17.2,16,12
24:00 05/02/2016,53.4,18.2,15.9,30.6,47.4,22.2,55.5,22.9,17.6,19.1,13.4,23.3,10.3,14.3
24:00 06/02/2016,13.8,8.1,4.6,20.1,9.8,10,14,12.2,6,14.5,6.8,14.7,3.2,7.8
24:00 07/02/2016,34.1,3.7,6.5,10.4,19.7,5.1,34.8,7.3,12.2,9,12,7.8,17.8,6.4
24:00 08/02/2016,54.9,7.2,17.1,9.6,34.7,9.9,45.1,9.8,24.1,9.1,15.7,11.1,17,7
24:00 09/02/2016,61.2,11.4,27.3,17.9,50.1,13.1,60.5,13.8,34.8,11.2,21.9,12.2,25.3,9.6
24:00 10/02/2016,59,9.6,16.3,13.8,45.9,13.6,59.8,13.8,24.7,10.5,17,12.7,29,12.3
24:00 11/02/2016,62.9,12.4,18.1,12.8,33.5,12.5,50.2,9.2,21.2,10.8,12.8,10.1,&lt;Samp,10.3
24:00 12/02/2016,61.2,17.8,19.2,25.2,49.2,17.9,49.1,16.6,27,13.6,16.4,16.5,&lt;Samp,10.2
24:00 13/02/2016,49.2,15.2,16.2,21.9,40.3,24.4,42.6,23.3,23,17.9,16.2,22.6,&lt;Samp,14.9
24:00 14/02/2016,84.5,24.3,29.3,28.7,62.5,27.7,67,27.8,40.8,21,29.7,26.1,&lt;Samp,18.4
24:00 15/02/2016,65,19.6,15.6,13.4,65,22.7,67,18.4,49,16.8,29.7,17.1,25.9,14.6
24:00 16/02/2016,67.9,23.2,25,13.8,72,23.9,74.3,23.5,45.7,18.9,29.7,22.3,33.2,19.8
24:00 17/02/2016,57.3,18.9,15.4,13.9,65.1,39.3,73.7,21.7,41.2,15.2,25.9,18.7,16.9,15.3
24:00 18/02/2016,67.8,18.8,19.4,11.6,79.5,53.6,78.3,21.4,47.7,12.4,19.9,10.7,18.8,9.3
24:00 19/02/2016,54.8,24.1,12.8,22.8,35.6,40.7,44.1,43.2,14,19.6,&lt;Samp,&lt;Samp,12.5,22.2
24:00 20/02/2016,30,9.7,11.2,18.7,16.9,19.1,17.3,23.3,8.6,20.4,NoData,NoData,3.4,26.4
24:00 21/02/2016,36.1,7.4,11.4,18.1,21.3,13.7,37.2,17.7,13.5,15.2,&lt;Samp,&lt;Samp,9.4,13
24:00 22/02/2016,36.6,3.1,7.6,9.4,32.6,7.5,38.7,7.4,19.5,7.2,10.7,8.2,7.8,7
24:00 23/02/2016,50.8,5.4,18.7,12.3,42.1,12.1,49.6,9.1,18.5,&lt;Samp,17.6,12.8,16.2,9.9
24:00 24/02/2016,75.1,13.1,21.7,17.7,58.1,18.2,61.1,15,31.3,12.5,18.5,15.5,20,11.8
24:00 25/02/2016,87.5,19.9,24.2,20.7,62.3,26,68.1,24.8,33.8,15.8,22.3,19.7,17.3,15.4
24:00 26/02/2016,65.7,21.1,25.6,31.4,48.8,29.7,52.2,26.6,23.6,20,23.4,28.9,15.1,15.6
24:00 27/02/2016,43.6,14.3,16.2,34.5,24.8,24.9,30.9,20.5,14.1,20.3,15.6,22.1,9.5,19.4
24:00 28/02/2016,75.2,16.5,22,29.4,50.3,28.6,54.8,24.3,30.4,22.6,16.7,25.6,18.6,18.9
24:00 29/02/2016,53.8,21.9,NoData,NoData,55.4,28,69.8,25.7,34.4,21.4,24.7,15.4,13.1,15.6
24:00 01/03/2016,51.2,16.8,NoData,NoData,52.6,21.5,73.1,21.4,18.7,16.9,11.5,15.4,7.4,13.1
24:00 02/03/2016,64,13.6,&lt;Samp,&lt;Samp,48.5,15.7,69.2,14.9,15.5,13.5,13.1,15.9,9.1,12.7
24:00 03/03/2016,40.7,8.8,15.1,25.5,30,-3.1,45.7,18.8,21.5,20.7,11.1,24.1,15.6,19.6
24:00 04/03/2016,40.9,5.2,14.2,11.8,28.6,10.3,39.3,10.6,10.8,8.6,8.7,8.5,8.3,8.7
24:00 05/03/2016,18.4,5.6,8.1,14.1,16.6,10.7,22.8,11,9,9.5,10.1,11.1,2.8,10.8
24:00 06/03/2016,55.6,5.4,18.3,11.6,34.6,7.2,38.4,7.9,22.6,13.8,15,8.9,16,6.8
24:00 07/03/2016,64.3,18,28,20.2,49.9,16.7,66.2,15.7,33.3,16.5,24.7,20.2,16.6,9.2
24:00 08/03/2016,67.5,23.1,26.7,20.8,30.8,12.2,42.4,12,22.3,13.2,11.4,14.3,19.5,16.3
24:00 09/03/2016,68.7,35.9,16.9,28.5,82.2,37,88.3,41.4,34.1,23.4,25,28.4,26.8,32.6
24:00 10/03/2016,61.6,15,InVld,22.8,28.4,23.8,40.3,22.4,22.9,25.6,13.9,27.1,15.9,20.3
24:00 11/03/2016,51.9,9.8,InVld,15.5,32.9,12.7,34.6,12.3,20.9,11.7,11.7,10.9,14,7.9
24:00 12/03/2016,35.5,10.9,InVld,12.6,29.6,10.7,32.8,9.5,19.8,11.1,16.4,11.5,27,8.9
24:00 13/03/2016,73.5,44.1,&lt;Samp,69.3,61.4,38.1,84.1,&lt;Samp,28.1,53.8,24.7,51.6,18.4,24.4
24:00 14/03/2016,34,24.6,11.1,66,15.4,72.9,34.4,78.2,14.3,85.5,14.7,78.8,9,71.2
24:00 15/03/2016,27.4,&lt;Samp,8.6,24.9,16.2,23.6,33,28.2,10,22.9,9.2,23.8,7.5,30.3
24:00 16/03/2016,32.1,InVld,10.5,7.5,11.1,7,28.7,8,12.5,6.1,12.6,8.1,7.6,8.1
24:00 17/03/2016,37.7,&lt;Samp,InVld,6.9,15.1,6.9,31.7,8.7,15.7,8.2,13,7,9.9,7.2
