"סוג: ממוצע, זמן מיצוע:  שעה, Period:01/01/2008 00:01 - 01/01/2018 00:00",,,,,,,
,,,,,,,
תאריך ושעה,"אשדוד, אזור תעשייה קלה",,,,,,
,NO2,PM2.5,,,,,
,µg/m³,µg/m³,,,,,
01:00 01/01/2008,54.8,44.8,,,,,
02:00 01/01/2008,Calib,53,,,,,
03:00 01/01/2008,41.5,46.5,,,,,
04:00 01/01/2008,41.2,40.4,,,,,
05:00 01/01/2008,35.9,34.3,,,,,
06:00 01/01/2008,34.9,25.7,,,,,
07:00 01/01/2008,41.3,22.5,,,,,
08:00 01/01/2008,45,17.4,,,,,
09:00 01/01/2008,51,27.7,,,,,
10:00 01/01/2008,59.9,24.2,,,,,
11:00 01/01/2008,68.9,26.5,,,,,
12:00 01/01/2008,38.9,25.8,,,,,
13:00 01/01/2008,36.4,27,,,,,
14:00 01/01/2008,38.3,18.8,,,,,
15:00 01/01/2008,46,24.5,,,,,
16:00 01/01/2008,72.2,26.9,,,,,
17:00 01/01/2008,96.7,41.8,,,,,
18:00 01/01/2008,104.1,50.9,,,,,
19:00 01/01/2008,85.6,59,,,,,
20:00 01/01/2008,77.3,51.1,,,,,
21:00 01/01/2008,60.1,38.9,,,,,
22:00 01/01/2008,48.9,41.6,,,,,
23:00 01/01/2008,42.7,40.5,,,,,
24:00 01/01/2008,42.5,39.3,,,,,
01:00 02/01/2008,39.5,34,,,,,
02:00 02/01/2008,Calib,36.4,,,,,
03:00 02/01/2008,27.2,37.7,,,,,
04:00 02/01/2008,22,38.1,,,,,
05:00 02/01/2008,24.6,30.8,,,,,
06:00 02/01/2008,37.3,28.1,,,,,
07:00 02/01/2008,49.2,32.7,,,,,
08:00 02/01/2008,51,29.8,,,,,
09:00 02/01/2008,42,31.3,,,,,
10:00 02/01/2008,45.9,30.7,,,,,
11:00 02/01/2008,55.4,30.5,,,,,
12:00 02/01/2008,39.1,35,,,,,
13:00 02/01/2008,36,22.5,,,,,
14:00 02/01/2008,36.6,19.8,,,,,
15:00 02/01/2008,38.6,21.5,,,,,
16:00 02/01/2008,31.5,19.4,,,,,
17:00 02/01/2008,41.3,21.3,,,,,
18:00 02/01/2008,58.2,16,,,,,
19:00 02/01/2008,62.1,15.8,,,,,
20:00 02/01/2008,59.4,23.9,,,,,
21:00 02/01/2008,61,23.3,,,,,
22:00 02/01/2008,51.7,19.3,,,,,
23:00 02/01/2008,40.6,14.8,,,,,
24:00 02/01/2008,31.2,19.1,,,,,
01:00 03/01/2008,26.1,14.3,,,,,
02:00 03/01/2008,Calib,21.2,,,,,
03:00 03/01/2008,16.6,10.9,,,,,
04:00 03/01/2008,14.8,13.1,,,,,
05:00 03/01/2008,17.3,15.1,,,,,
06:00 03/01/2008,28.1,11.3,,,,,
07:00 03/01/2008,49.2,10.9,,,,,
08:00 03/01/2008,49.9,7.8,,,,,
09:00 03/01/2008,47,9.5,,,,,
10:00 03/01/2008,54.1,19.1,,,,,
11:00 03/01/2008,42.1,16.5,,,,,
12:00 03/01/2008,39.6,25.2,,,,,
13:00 03/01/2008,40.3,27.7,,,,,
14:00 03/01/2008,44.9,28.5,,,,,
15:00 03/01/2008,47,9.2,,,,,
16:00 03/01/2008,52.3,10.4,,,,,
17:00 03/01/2008,80,18.8,,,,,
18:00 03/01/2008,69.6,18,,,,,
19:00 03/01/2008,65.7,12.6,,,,,
20:00 03/01/2008,68.2,11.5,,,,,
21:00 03/01/2008,56.1,12.1,,,,,
22:00 03/01/2008,38.7,11.6,,,,,
23:00 03/01/2008,41.1,12,,,,,
24:00 03/01/2008,22.3,16.7,,,,,
01:00 04/01/2008,18.7,7.7,,,,,
02:00 04/01/2008,Calib,22.5,,,,,
03:00 04/01/2008,11.8,11,,,,,
04:00 04/01/2008,15.1,12.9,,,,,
05:00 04/01/2008,15.2,13.6,,,,,
06:00 04/01/2008,26,13.8,,,,,
07:00 04/01/2008,33.4,13.3,,,,,
08:00 04/01/2008,33.7,6.6,,,,,
09:00 04/01/2008,23.7,7.6,,,,,
10:00 04/01/2008,29.6,9.2,,,,,
11:00 04/01/2008,34.1,8.7,,,,,
12:00 04/01/2008,28.4,21.3,,,,,
13:00 04/01/2008,44.4,15,,,,,
14:00 04/01/2008,33.9,13.3,,,,,
15:00 04/01/2008,21.4,3.7,,,,,
16:00 04/01/2008,22.9,7.1,,,,,
17:00 04/01/2008,27.7,4.4,,,,,
18:00 04/01/2008,17.6,8.4,,,,,
19:00 04/01/2008,12,4.8,,,,,
20:00 04/01/2008,16.2,4.4,,,,,
21:00 04/01/2008,11.5,10.3,,,,,
22:00 04/01/2008,10.1,7.8,,,,,
23:00 04/01/2008,12.6,12.2,,,,,
24:00 04/01/2008,9.8,6.7,,,,,
01:00 05/01/2008,6.7,9.2,,,,,
02:00 05/01/2008,Calib,4.4,,,,,
03:00 05/01/2008,8.9,8.4,,,,,
04:00 05/01/2008,11.1,8,,,,,
05:00 05/01/2008,10.6,7.1,,,,,
06:00 05/01/2008,11.8,13.8,,,,,
07:00 05/01/2008,11.6,6.2,,,,,
08:00 05/01/2008,10,1.3,,,,,
09:00 05/01/2008,11,10.3,,,,,
10:00 05/01/2008,8.9,1.4,,,,,
11:00 05/01/2008,9.9,8.7,,,,,
12:00 05/01/2008,8.5,10.1,,,,,
13:00 05/01/2008,9.4,11.3,,,,,
14:00 05/01/2008,9.3,7.1,,,,,
15:00 05/01/2008,9.9,8.3,,,,,
16:00 05/01/2008,10.2,7.2,,,,,
17:00 05/01/2008,11,13.3,,,,,
18:00 05/01/2008,12.7,9.4,,,,,
19:00 05/01/2008,14.5,12.4,,,,,
20:00 05/01/2008,18.8,10,,,,,
21:00 05/01/2008,22.4,13.4,,,,,
22:00 05/01/2008,16.2,10.2,,,,,
23:00 05/01/2008,58.3,13.4,,,,,
24:00 05/01/2008,65.7,20.8,,,,,
01:00 06/01/2008,48.4,20.6,,,,,
02:00 06/01/2008,Calib,33.2,,,,,
03:00 06/01/2008,36.1,20.5,,,,,
04:00 06/01/2008,29.4,12.6,,,,,
05:00 06/01/2008,28.3,14.9,,,,,
06:00 06/01/2008,33.7,10.7,,,,,
07:00 06/01/2008,39.9,14.1,,,,,
08:00 06/01/2008,45.8,11.3,,,,,
09:00 06/01/2008,54,7.7,,,,,
10:00 06/01/2008,57.4,19.7,,,,,
11:00 06/01/2008,49.7,24.3,,,,,
12:00 06/01/2008,36.8,20.4,,,,,
13:00 06/01/2008,31,11.9,,,,,
14:00 06/01/2008,36.5,10.7,,,,,
15:00 06/01/2008,37.8,12.5,,,,,
16:00 06/01/2008,37.3,9.2,,,,,
17:00 06/01/2008,55.3,15.5,,,,,
18:00 06/01/2008,91.5,14.9,,,,,
19:00 06/01/2008,93.8,19.4,,,,,
20:00 06/01/2008,83.8,19.6,,,,,
21:00 06/01/2008,69,22.8,,,,,
22:00 06/01/2008,59.6,18.8,,,,,
23:00 06/01/2008,46.5,19.5,,,,,
24:00 06/01/2008,41.5,15.2,,,,,
01:00 07/01/2008,37.8,13.9,,,,,
02:00 07/01/2008,Calib,19.2,,,,,
03:00 07/01/2008,29,13.2,,,,,
04:00 07/01/2008,21.4,9.9,,,,,
05:00 07/01/2008,21.4,13,,,,,
06:00 07/01/2008,29.6,11.6,,,,,
07:00 07/01/2008,37,13.4,,,,,
08:00 07/01/2008,39.9,12.5,,,,,
09:00 07/01/2008,41.5,19.8,,,,,
10:00 07/01/2008,41.1,20.6,,,,,
11:00 07/01/2008,40.7,25.1,,,,,
12:00 07/01/2008,38.4,32.2,,,,,
13:00 07/01/2008,35,23.7,,,,,
14:00 07/01/2008,&lt;Samp,19.6,,,,,
15:00 07/01/2008,Calib,16.4,,,,,
16:00 07/01/2008,40.4,5.5,,,,,
17:00 07/01/2008,60.1,20.1,,,,,
18:00 07/01/2008,77.2,18.3,,,,,
19:00 07/01/2008,75,22,,,,,
20:00 07/01/2008,42.3,19.1,,,,,
21:00 07/01/2008,36.2,15.5,,,,,
22:00 07/01/2008,28,16.2,,,,,
23:00 07/01/2008,30.5,15.1,,,,,
24:00 07/01/2008,23.9,19.5,,,,,
01:00 08/01/2008,21.1,13.1,,,,,
02:00 08/01/2008,Calib,20.2,,,,,
03:00 08/01/2008,9.1,12.3,,,,,
04:00 08/01/2008,9.2,10.7,,,,,
05:00 08/01/2008,11.8,15.5,,,,,
06:00 08/01/2008,17.1,9.1,,,,,
07:00 08/01/2008,25.5,16.9,,,,,
08:00 08/01/2008,34.4,10.7,,,,,
09:00 08/01/2008,36.7,0.9,,,,,
10:00 08/01/2008,38.1,19.3,,,,,
11:00 08/01/2008,39.2,27.4,,,,,
12:00 08/01/2008,39.8,24.6,,,,,
13:00 08/01/2008,34.7,20.7,,,,,
14:00 08/01/2008,34.8,27.1,,,,,
15:00 08/01/2008,34.4,20.7,,,,,
16:00 08/01/2008,50.9,20.3,,,,,
17:00 08/01/2008,77,23.5,,,,,
18:00 08/01/2008,60.5,14.9,,,,,
19:00 08/01/2008,48.3,12.2,,,,,
20:00 08/01/2008,51.1,13.6,,,,,
21:00 08/01/2008,57.1,13.8,,,,,
22:00 08/01/2008,25.7,4.7,,,,,
23:00 08/01/2008,22,7.3,,,,,
24:00 08/01/2008,26.9,8.6,,,,,
01:00 09/01/2008,37.8,14.6,,,,,
02:00 09/01/2008,Calib,27.5,,,,,
03:00 09/01/2008,29.4,29.6,,,,,
04:00 09/01/2008,21.3,18.5,,,,,
05:00 09/01/2008,18,15.2,,,,,
06:00 09/01/2008,27.4,10,,,,,
07:00 09/01/2008,45.1,12.8,,,,,
08:00 09/01/2008,42.8,11.7,,,,,
09:00 09/01/2008,35.2,8.6,,,,,
10:00 09/01/2008,25.1,10.6,,,,,
11:00 09/01/2008,28.4,9.9,,,,,
12:00 09/01/2008,21.2,13.7,,,,,
13:00 09/01/2008,55.4,22.8,,,,,
14:00 09/01/2008,57.5,15.4,,,,,
15:00 09/01/2008,64.3,17,,,,,
16:00 09/01/2008,67.1,15.2,,,,,
17:00 09/01/2008,82.8,18.1,,,,,
18:00 09/01/2008,75.7,21.8,,,,,
19:00 09/01/2008,80.8,24.7,,,,,
20:00 09/01/2008,74.5,22.5,,,,,
21:00 09/01/2008,64.7,20.7,,,,,
22:00 09/01/2008,58.6,31.6,,,,,
23:00 09/01/2008,36.8,25.2,,,,,
24:00 09/01/2008,19.3,14.7,,,,,
01:00 10/01/2008,18.5,17.5,,,,,
02:00 10/01/2008,Calib,19.4,,,,,
03:00 10/01/2008,23.8,16.7,,,,,
04:00 10/01/2008,14.8,15.8,,,,,
05:00 10/01/2008,21.9,16.3,,,,,
06:00 10/01/2008,33,18,,,,,
