"סוג: ממוצע, זמן מיצוע:  שעה, Period:01/01/2008 00:01 - 01/01/2018 00:00",,,,,,,
,,,,,,,
תאריך ושעה,"אשקלון, שמשון",,,,,,
,NO2,PM2.5,,,,,
,µg/m³,µg/m³,,,,,
01:00 01/01/2008,71.1,37.5,,,,,
02:00 01/01/2008,71.2,36.6,,,,,
03:00 01/01/2008,68.1,42,,,,,
04:00 01/01/2008,63.5,49.2,,,,,
05:00 01/01/2008,61.3,36.3,,,,,
06:00 01/01/2008,67.9,36.1,,,,,
07:00 01/01/2008,61.2,31,,,,,
08:00 01/01/2008,43.9,27.7,,,,,
09:00 01/01/2008,43.1,20.2,,,,,
10:00 01/01/2008,38.3,17,,,,,
11:00 01/01/2008,17.2,8,,,,,
12:00 01/01/2008,9.7,9.6,,,,,
13:00 01/01/2008,&lt;Samp,19.4,,,,,
14:00 01/01/2008,9.4,4.4,,,,,
15:00 01/01/2008,15.1,20,,,,,
16:00 01/01/2008,20.2,41.6,,,,,
17:00 01/01/2008,17.2,41.1,,,,,
18:00 01/01/2008,36.2,42.7,,,,,
19:00 01/01/2008,63.4,54.4,,,,,
20:00 01/01/2008,60.5,66.3,,,,,
21:00 01/01/2008,56.5,46.9,,,,,
22:00 01/01/2008,37.6,42.8,,,,,
23:00 01/01/2008,31.7,47.4,,,,,
24:00 01/01/2008,28.4,46.6,,,,,
01:00 02/01/2008,23.9,42.8,,,,,
02:00 02/01/2008,26.4,49.7,,,,,
03:00 02/01/2008,23.8,47,,,,,
04:00 02/01/2008,18.7,38.4,,,,,
05:00 02/01/2008,15.4,34.6,,,,,
06:00 02/01/2008,18.3,37,,,,,
07:00 02/01/2008,25.1,46,,,,,
08:00 02/01/2008,29.8,38.5,,,,,
09:00 02/01/2008,30.8,28.7,,,,,
10:00 02/01/2008,18.4,18.5,,,,,
11:00 02/01/2008,15.3,21.6,,,,,
12:00 02/01/2008,12.4,18.2,,,,,
13:00 02/01/2008,&lt;Samp,20.4,,,,,
14:00 02/01/2008,7.9,14.5,,,,,
15:00 02/01/2008,7.2,9.6,,,,,
16:00 02/01/2008,5.5,3.8,,,,,
17:00 02/01/2008,4.9,7.9,,,,,
18:00 02/01/2008,5.3,12.2,,,,,
19:00 02/01/2008,4.8,6.2,,,,,
20:00 02/01/2008,31.5,12.3,,,,,
21:00 02/01/2008,51.5,17.5,,,,,
22:00 02/01/2008,42.4,19.9,,,,,
23:00 02/01/2008,36,28.6,,,,,
24:00 02/01/2008,27.2,26,,,,,
01:00 03/01/2008,19.3,14.2,,,,,
02:00 03/01/2008,13.6,10.6,,,,,
03:00 03/01/2008,16.7,19,,,,,
04:00 03/01/2008,10,17.9,,,,,
05:00 03/01/2008,12.5,19.7,,,,,
06:00 03/01/2008,13.8,22.1,,,,,
07:00 03/01/2008,18.6,18.4,,,,,
08:00 03/01/2008,28.8,10.5,,,,,
09:00 03/01/2008,39.1,2.4,,,,,
10:00 03/01/2008,21.4,1.6,,,,,
11:00 03/01/2008,16.8,4.3,,,,,
12:00 03/01/2008,14.7,14.2,,,,,
13:00 03/01/2008,&lt;Samp,17.9,,,,,
14:00 03/01/2008,11,20.1,,,,,
15:00 03/01/2008,5,2.9,,,,,
16:00 03/01/2008,6.2,14.6,,,,,
17:00 03/01/2008,5.9,7.2,,,,,
18:00 03/01/2008,5.8,7.2,,,,,
19:00 03/01/2008,21.8,19.3,,,,,
20:00 03/01/2008,18.9,6.5,,,,,
21:00 03/01/2008,30.9,13.7,,,,,
22:00 03/01/2008,18.3,16.4,,,,,
23:00 03/01/2008,14.8,19.7,,,,,
24:00 03/01/2008,13.7,20,,,,,
01:00 04/01/2008,14.8,17.3,,,,,
02:00 04/01/2008,7.4,24.4,,,,,
03:00 04/01/2008,9,25.3,,,,,
04:00 04/01/2008,7.3,18.7,,,,,
05:00 04/01/2008,9.1,23.6,,,,,
06:00 04/01/2008,11.1,20.3,,,,,
07:00 04/01/2008,16.5,26,,,,,
08:00 04/01/2008,25.3,21.7,,,,,
09:00 04/01/2008,20.5,0.4,,,,,
10:00 04/01/2008,11,0.1,,,,,
11:00 04/01/2008,10.2,5.5,,,,,
12:00 04/01/2008,9.1,32.4,,,,,
13:00 04/01/2008,&lt;Samp,41.7,,,,,
14:00 04/01/2008,5.3,0.3,,,,,
15:00 04/01/2008,6.3,0.7,,,,,
16:00 04/01/2008,4,24.8,,,,,
17:00 04/01/2008,8.8,22.7,,,,,
18:00 04/01/2008,14,4.2,,,,,
19:00 04/01/2008,8.9,12.9,,,,,
20:00 04/01/2008,9.9,10.7,,,,,
21:00 04/01/2008,3.9,2.6,,,,,
22:00 04/01/2008,4.6,1.2,,,,,
23:00 04/01/2008,10.3,2.5,,,,,
24:00 04/01/2008,6.1,13.7,,,,,
01:00 05/01/2008,3.7,6.6,,,,,
02:00 05/01/2008,3.8,14.1,,,,,
03:00 05/01/2008,4.7,12.8,,,,,
04:00 05/01/2008,6.7,7,,,,,
