"סוג: ממוצע, זמן מיצוע:  שעה, Period:01/01/2008 00:01 - 01/01/2018 00:00",,,,,,,
,,,,,,,
תאריך ושעה,"חולון, חולון",,,,,,
,NO2,PM2.5,,,,,
,µg/m³,µg/m³,,,,,
01:00 01/01/2008,NoData,&lt;Samp,,,,,
02:00 01/01/2008,NoData,NoData,,,,,
03:00 01/01/2008,&lt;Samp,58,,,,,
04:00 01/01/2008,64.6,58,,,,,
05:00 01/01/2008,64.7,58,,,,,
06:00 01/01/2008,61.2,51.6,,,,,
07:00 01/01/2008,68.7,51,,,,,
08:00 01/01/2008,79.1,51,,,,,
09:00 01/01/2008,91.8,24.3,,,,,
10:00 01/01/2008,105.5,19,,,,,
11:00 01/01/2008,67.5,19,,,,,
12:00 01/01/2008,30.8,89,,,,,
13:00 01/01/2008,15.2,103,,,,,
14:00 01/01/2008,18.4,103,,,,,
15:00 01/01/2008,22.4,20.5,,,,,
16:00 01/01/2008,27.3,4,,,,,
17:00 01/01/2008,57.5,4,,,,,
18:00 01/01/2008,90.8,18.2,,,,,
19:00 01/01/2008,90.1,21,,,,,
20:00 01/01/2008,85.4,21,,,,,
21:00 01/01/2008,74.5,40.2,,,,,
22:00 01/01/2008,72,44,,,,,
23:00 01/01/2008,60.4,44,,,,,
24:00 01/01/2008,54.1,41,,,,,
01:00 02/01/2008,60.1,40,,,,,
02:00 02/01/2008,40.9,40,,,,,
03:00 02/01/2008,&lt;Samp,34,,,,,
04:00 02/01/2008,34.6,32,,,,,
05:00 02/01/2008,14.2,32,,,,,
06:00 02/01/2008,18.6,29,,,,,
07:00 02/01/2008,41.9,28,,,,,
08:00 02/01/2008,49.6,28,,,,,
09:00 02/01/2008,44.4,34,,,,,
10:00 02/01/2008,34.6,36,,,,,
11:00 02/01/2008,30.6,36,,,,,
12:00 02/01/2008,18,39,,,,,
13:00 02/01/2008,14.8,40,,,,,
14:00 02/01/2008,16.7,40,,,,,
15:00 02/01/2008,15.7,22,,,,,
16:00 02/01/2008,22.1,16,,,,,
17:00 02/01/2008,29,16,,,,,
18:00 02/01/2008,35.9,11.3,,,,,
19:00 02/01/2008,37.7,9,,,,,
20:00 02/01/2008,65.5,9,,,,,
21:00 02/01/2008,66.8,9,,,,,
22:00 02/01/2008,54.8,9,,,,,
23:00 02/01/2008,55.3,9,,,,,
24:00 02/01/2008,39.5,6.3,,,,,
01:00 03/01/2008,17.2,5,,,,,
02:00 03/01/2008,17.3,5,,,,,
03:00 03/01/2008,&lt;Samp,5.7,,,,,
04:00 03/01/2008,29,6,,,,,
05:00 03/01/2008,18.5,6,,,,,
06:00 03/01/2008,31.3,6.7,,,,,
07:00 03/01/2008,59.5,7,,,,,
08:00 03/01/2008,69.2,7,,,,,
09:00 03/01/2008,67.1,11.1,,,,,
10:00 03/01/2008,39.1,14,,,,,
11:00 03/01/2008,31.7,14,,,,,
12:00 03/01/2008,17.6,17.3,,,,,
13:00 03/01/2008,17,19,,,,,
14:00 03/01/2008,20.7,19,,,,,
15:00 03/01/2008,21.1,10.8,,,,,
16:00 03/01/2008,22.5,5,,,,,
17:00 03/01/2008,43.1,5,,,,,
18:00 03/01/2008,78.7,2.1,,,,,
19:00 03/01/2008,80.2,0,,,,,
20:00 03/01/2008,80.5,0,,,,,
21:00 03/01/2008,60.2,8.8,,,,,
22:00 03/01/2008,55.7,15,,,,,
23:00 03/01/2008,36.3,15,,,,,
24:00 03/01/2008,31.9,10.9,,,,,
01:00 04/01/2008,37.1,8,,,,,
02:00 04/01/2008,22.6,8,,,,,
03:00 04/01/2008,&lt;Samp,8,,,,,
04:00 04/01/2008,14.3,8,,,,,
05:00 04/01/2008,16.2,8,,,,,
06:00 04/01/2008,17.5,8.5,,,,,
07:00 04/01/2008,32.9,9,,,,,
08:00 04/01/2008,45.7,9,,,,,
09:00 04/01/2008,37,10,,,,,
10:00 04/01/2008,24.3,11,,,,,
11:00 04/01/2008,25.6,11,,,,,
12:00 04/01/2008,28.1,5.5,,,,,
13:00 04/01/2008,24.3,0,,,,,
14:00 04/01/2008,24.6,0,,,,,
15:00 04/01/2008,25.5,0,,,,,
16:00 04/01/2008,30.3,0,,,,,
17:00 04/01/2008,39.5,0,,,,,
18:00 04/01/2008,34.7,1.5,,,,,
19:00 04/01/2008,20.5,3,,,,,
20:00 04/01/2008,27.9,3,,,,,
21:00 04/01/2008,11.6,6.8,,,,,
22:00 04/01/2008,16.1,12,,,,,
23:00 04/01/2008,17.3,12,,,,,
24:00 04/01/2008,14.1,7,,,,,
01:00 05/01/2008,9.1,0,,,,,
02:00 05/01/2008,9,0,,,,,
03:00 05/01/2008,&lt;Samp,2.5,,,,,
04:00 05/01/2008,7.1,6,,,,,
05:00 05/01/2008,5.9,6,,,,,
06:00 05/01/2008,4,&lt;Samp,,,,,
07:00 05/01/2008,6.1,NoData,,,,,
08:00 05/01/2008,8.7,NoData,,,,,
09:00 05/01/2008,7.1,&lt;Samp,,,,,
10:00 05/01/2008,8.2,7,,,,,
11:00 05/01/2008,8,7,,,,,
12:00 05/01/2008,11.8,&lt;Samp,,,,,
13:00 05/01/2008,9.5,NoData,,,,,
14:00 05/01/2008,10.2,NoData,,,,,
15:00 05/01/2008,10.6,NoData,,,,,
16:00 05/01/2008,12,NoData,,,,,
17:00 05/01/2008,12.6,NoData,,,,,
18:00 05/01/2008,13,NoData,,,,,
19:00 05/01/2008,14,NoData,,,,,
20:00 05/01/2008,16.8,NoData,,,,,
21:00 05/01/2008,19.3,&lt;Samp,,,,,
22:00 05/01/2008,37.6,10,,,,,
23:00 05/01/2008,67.3,10,,,,,
24:00 05/01/2008,66.6,9.3,,,,,
01:00 06/01/2008,62.3,8,,,,,
02:00 06/01/2008,57.8,8,,,,,
03:00 06/01/2008,&lt;Samp,12,,,,,
04:00 06/01/2008,45.5,20,,,,,
05:00 06/01/2008,43.7,20,,,,,
06:00 06/01/2008,52.1,17.3,,,,,
07:00 06/01/2008,59.5,12,,,,,
08:00 06/01/2008,71.3,12,,,,,
09:00 06/01/2008,65.4,16.3,,,,,
10:00 06/01/2008,42.3,25,,,,,
11:00 06/01/2008,36.9,25,,,,,
12:00 06/01/2008,21.6,20.5,,,,,
13:00 06/01/2008,21.8,7,,,,,
14:00 06/01/2008,18.4,7,,,,,
15:00 06/01/2008,16.5,7,,,,,
16:00 06/01/2008,23.2,NoData,,,,,
17:00 06/01/2008,44.6,NoData,,,,,
18:00 06/01/2008,69.5,NoData,,,,,
19:00 06/01/2008,80.4,NoData,,,,,
20:00 06/01/2008,81.4,NoData,,,,,
21:00 06/01/2008,78.5,&lt;Samp,,,,,
22:00 06/01/2008,75.4,12,,,,,
23:00 06/01/2008,69.4,12,,,,,
24:00 06/01/2008,61.6,16.5,,,,,
01:00 07/01/2008,54.3,30,,,,,
02:00 07/01/2008,50.1,30,,,,,
03:00 07/01/2008,&lt;Samp,28.2,,,,,
04:00 07/01/2008,44.7,19,,,,,
05:00 07/01/2008,44.5,19,,,,,
06:00 07/01/2008,45.8,18.2,,,,,
07:00 07/01/2008,54,14,,,,,
08:00 07/01/2008,65.4,14,,,,,
09:00 07/01/2008,71,17,,,,,
10:00 07/01/2008,56.3,32,,,,,
11:00 07/01/2008,32.7,32,,,,,
12:00 07/01/2008,23.9,28.8,,,,,
13:00 07/01/2008,15.9,13,,,,,
14:00 07/01/2008,12.8,13,,,,,
15:00 07/01/2008,18,11.7,,,,,
16:00 07/01/2008,21.3,5,,,,,
17:00 07/01/2008,28.9,5,,,,,
18:00 07/01/2008,56.2,5,,,,,
19:00 07/01/2008,60.2,NoData,,,,,
20:00 07/01/2008,75.8,NoData,,,,,
21:00 07/01/2008,73.6,NoData,,,,,
22:00 07/01/2008,62.4,NoData,,,,,
23:00 07/01/2008,49.5,NoData,,,,,
24:00 07/01/2008,31.8,&lt;Samp,,,,,
01:00 08/01/2008,19.7,6,,,,,
02:00 08/01/2008,14.2,6,,,,,
03:00 08/01/2008,&lt;Samp,6.3,,,,,
04:00 08/01/2008,10.6,9,,,,,
05:00 08/01/2008,13.5,9,,,,,
06:00 08/01/2008,17,8.9,,,,,
07:00 08/01/2008,36.9,8,,,,,
08:00 08/01/2008,46.8,8,,,,,
09:00 08/01/2008,56.6,8.3,,,,,
10:00 08/01/2008,42.3,12,,,,,
11:00 08/01/2008,40.7,12,,,,,
12:00 08/01/2008,32.3,13.2,,,,,
13:00 08/01/2008,33.4,26,,,,,
14:00 08/01/2008,32.7,26,,,,,
15:00 08/01/2008,41.9,26,,,,,
16:00 08/01/2008,44.6,20,,,,,
17:00 08/01/2008,60.5,20,,,,,
18:00 08/01/2008,60.6,20,,,,,
19:00 08/01/2008,61.1,15,,,,,
20:00 08/01/2008,58.1,15,,,,,
21:00 08/01/2008,53.3,15,,,,,
22:00 08/01/2008,50.3,18,,,,,
23:00 08/01/2008,47,18,,,,,
24:00 08/01/2008,42.3,18,,,,,
01:00 09/01/2008,39.4,16,,,,,
02:00 09/01/2008,37.2,16,,,,,
03:00 09/01/2008,&lt;Samp,16,,,,,
04:00 09/01/2008,33.1,9,,,,,
05:00 09/01/2008,34.3,9,,,,,
06:00 09/01/2008,36.6,9,,,,,
07:00 09/01/2008,44.5,17,,,,,
08:00 09/01/2008,55.4,17,,,,,
09:00 09/01/2008,53.4,17,,,,,
10:00 09/01/2008,52.2,25.3,,,,,
11:00 09/01/2008,44.1,26,,,,,
12:00 09/01/2008,42.3,26,,,,,
13:00 09/01/2008,55.3,30.6,,,,,
14:00 09/01/2008,32.2,31,,,,,
15:00 09/01/2008,35.8,31,,,,,
16:00 09/01/2008,41.9,8.1,,,,,
17:00 09/01/2008,64.9,6,,,,,
18:00 09/01/2008,70.7,6,,,,,
19:00 09/01/2008,71.6,13.3,,,,,
20:00 09/01/2008,65.5,14,,,,,
21:00 09/01/2008,58.7,14,,,,,
22:00 09/01/2008,55,22.3,,,,,
23:00 09/01/2008,53.8,23,,,,,
24:00 09/01/2008,52,23,,,,,
01:00 10/01/2008,52,30.3,,,,,
02:00 10/01/2008,46.8,31,,,,,
03:00 10/01/2008,&lt;Samp,31,,,,,
04:00 10/01/2008,22.4,13.5,,,,,
05:00 10/01/2008,24.3,10,,,,,
06:00 10/01/2008,28.2,10,,,,,
07:00 10/01/2008,51.8,14.2,,,,,
08:00 10/01/2008,60.6,15,,,,,
09:00 10/01/2008,60.1,15,,,,,
10:00 10/01/2008,43,10.8,,,,,
11:00 10/01/2008,32.1,10,,,,,
12:00 10/01/2008,25.8,10,,,,,
13:00 10/01/2008,25.8,18.3,,,,,
14:00 10/01/2008,24.2,20,,,,,
15:00 10/01/2008,29.5,20,,,,,
16:00 10/01/2008,35.7,&lt;Samp,,,,,
17:00 10/01/2008,57.2,NoData,,,,,
18:00 10/01/2008,62.3,NoData,,,,,
19:00 10/01/2008,67.9,18,,,,,
20:00 10/01/2008,69.1,18,,,,,
21:00 10/01/2008,68,18,,,,,
22:00 10/01/2008,68.4,21,,,,,
23:00 10/01/2008,65.7,22,,,,,
24:00 10/01/2008,67.8,22,,,,,
01:00 11/01/2008,62.5,22,,,,,
02:00 11/01/2008,36.5,22,,,,,
03:00 11/01/2008,&lt;Samp,22,,,,,
04:00 11/01/2008,14.8,16.8,,,,,
05:00 11/01/2008,15.1,15,,,,,
06:00 11/01/2008,14.6,15,,,,,
07:00 11/01/2008,27.9,12,,,,,
08:00 11/01/2008,38.2,11,,,,,
09:00 11/01/2008,34.9,11,,,,,
10:00 11/01/2008,23.7,13.3,,,,,
11:00 11/01/2008,16.1,14,,,,,
12:00 11/01/2008,14.8,14,,,,,
13:00 11/01/2008,17,14.7,,,,,
14:00 11/01/2008,15,15,,,,,
15:00 11/01/2008,14.6,15,,,,,
16:00 11/01/2008,17.8,&lt;Samp,,,,,
17:00 11/01/2008,24.7,NoData,,,,,
18:00 11/01/2008,39.6,NoData,,,,,
19:00 11/01/2008,58.2,&lt;Samp,,,,,
20:00 11/01/2008,56.6,7,,,,,
21:00 11/01/2008,46.7,7,,,,,
22:00 11/01/2008,47.6,11,,,,,
23:00 11/01/2008,45,13,,,,,
24:00 11/01/2008,49.8,13,,,,,
01:00 12/01/2008,37.4,18.3,,,,,
02:00 12/01/2008,25,21,,,,,
03:00 12/01/2008,&lt;Samp,21,,,,,
04:00 12/01/2008,29.6,10.3,,,,,
05:00 12/01/2008,39.6,5,,,,,
06:00 12/01/2008,33.5,5,,,,,
07:00 12/01/2008,32.9,12.6,,,,,
08:00 12/01/2008,26.4,18,,,,,
09:00 12/01/2008,19.5,18,,,,,
10:00 12/01/2008,11.9,16.3,,,,,
11:00 12/01/2008,9.3,15,,,,,
12:00 12/01/2008,9.1,15,,,,,
13:00 12/01/2008,7.6,15.6,,,,,
14:00 12/01/2008,7.6,16,,,,,
15:00 12/01/2008,9.5,16,,,,,
16:00 12/01/2008,10.5,&lt;Samp,,,,,
17:00 12/01/2008,18.1,NoData,,,,,
18:00 12/01/2008,34.3,NoData,,,,,
19:00 12/01/2008,64.5,&lt;Samp,,,,,
20:00 12/01/2008,78,2,,,,,
21:00 12/01/2008,74.6,2,,,,,
22:00 12/01/2008,70.5,14.3,,,,,
23:00 12/01/2008,67.1,23,,,,,
24:00 12/01/2008,64.9,23,,,,,
01:00 13/01/2008,59.6,25.5,,,,,
02:00 13/01/2008,56.5,28,,,,,
03:00 13/01/2008,&lt;Samp,28,,,,,
04:00 13/01/2008,58.3,22,,,,,
05:00 13/01/2008,55.3,16,,,,,
06:00 13/01/2008,55.1,16,,,,,
07:00 13/01/2008,61,25.5,,,,,
08:00 13/01/2008,72.8,35,,,,,
09:00 13/01/2008,77.2,35,,,,,
10:00 13/01/2008,71.9,36,,,,,
11:00 13/01/2008,47.5,37,,,,,
12:00 13/01/2008,26.9,37,,,,,
13:00 13/01/2008,21.1,30,,,,,
14:00 13/01/2008,21.3,23,,,,,
15:00 13/01/2008,28.5,23,,,,,
16:00 13/01/2008,51.1,&lt;Samp,,,,,
17:00 13/01/2008,59.1,NoData,,,,,
18:00 13/01/2008,80.2,NoData,,,,,
