"סוג: ממוצע, זמן מיצוע:  שעה, Period:01/01/2008 00:01 - 01/01/2018 00:00",,
,,
תאריך ושעה,"אשקלון, שמשון",
,NO2,PM2.5
,µg/m³,µg/m³
01/01/2008 01:00,71.1,37.5
01/01/2008 02:00,71.2,36.6
01/01/2008 03:00,68.1,42
01/01/2008 04:00,63.5,49.2
01/01/2008 05:00,61.3,36.3
01/01/2008 06:00,67.9,36.1
01/01/2008 07:00,61.2,31
01/01/2008 08:00,43.9,27.7
01/01/2008 09:00,43.1,20.2
01/01/2008 10:00,38.3,17
01/01/2008 11:00,17.2,8
01/01/2008 12:00,9.7,9.6
01/01/2008 13:00,&lt;Samp,19.4
01/01/2008 14:00,9.4,4.4
01/01/2008 15:00,15.1,20
01/01/2008 16:00,20.2,41.6
01/01/2008 17:00,17.2,41.1
01/01/2008 18:00,36.2,42.7
01/01/2008 19:00,63.4,54.4
01/01/2008 20:00,60.5,66.3
01/01/2008 21:00,56.5,46.9
01/01/2008 22:00,37.6,42.8
01/01/2008 23:00,31.7,47.4
39449,28.4,46.6
02/01/2008 01:00,23.9,42.8
02/01/2008 02:00,26.4,49.7
02/01/2008 03:00,23.8,47
02/01/2008 04:00,18.7,38.4
02/01/2008 05:00,15.4,34.6
02/01/2008 06:00,18.3,37
02/01/2008 07:00,25.1,46
02/01/2008 08:00,29.8,38.5
02/01/2008 09:00,30.8,28.7
02/01/2008 10:00,18.4,18.5
02/01/2008 11:00,15.3,21.6
02/01/2008 12:00,12.4,18.2
02/01/2008 13:00,&lt;Samp,20.4
02/01/2008 14:00,7.9,14.5
02/01/2008 15:00,7.2,9.6
02/01/2008 16:00,5.5,3.8
02/01/2008 17:00,4.9,7.9
02/01/2008 18:00,5.3,12.2
02/01/2008 19:00,4.8,6.2
02/01/2008 20:00,31.5,12.3
02/01/2008 21:00,51.5,17.5
02/01/2008 22:00,42.4,19.9
02/01/2008 23:00,36,28.6
39450,27.2,26
03/01/2008 01:00,19.3,14.2
03/01/2008 02:00,13.6,10.6
03/01/2008 03:00,16.7,19
