"סוג: ממוצע, זמן מיצוע:  שעה, Period:01/01/2008 00:01 - 01/01/2018 00:00",,
,,
תאריך ושעה,"תל אביב-יפו, לב תל אביב",
,NO2,PM2.5
,µg/m³,µg/m³
01/01/2008 01:00,117.5,74.1
01/01/2008 02:00,103.6,60.1
01/01/2008 03:00,&lt;Samp,59.8
01/01/2008 04:00,105.7,49.5
01/01/2008 05:00,96.3,45.2
01/01/2008 06:00,94,44.9
01/01/2008 07:00,106.3,43.8
01/01/2008 08:00,117.7,41.7
01/01/2008 09:00,116.4,35.9
01/01/2008 10:00,113,32
01/01/2008 11:00,114.3,35.5
01/01/2008 12:00,81.9,23.6
01/01/2008 13:00,59.5,22.6
01/01/2008 14:00,65,InVld
01/01/2008 15:00,76,InVld
01/01/2008 16:00,100.6,InVld
01/01/2008 17:00,120.6,33.9
01/01/2008 18:00,125.6,39.8
01/01/2008 19:00,126.6,46.7
01/01/2008 20:00,121.4,50.8
01/01/2008 21:00,120.4,49.5
01/01/2008 22:00,108.4,44.3
01/01/2008 23:00,104,41.8
39449,96.4,43
02/01/2008 01:00,90.3,36.9
02/01/2008 02:00,86.9,34.8
02/01/2008 03:00,&lt;Samp,32.1
02/01/2008 04:00,79.6,29.1
02/01/2008 05:00,76,27
02/01/2008 06:00,71.1,32.1
02/01/2008 07:00,83.7,40
02/01/2008 08:00,94.9,43.9
02/01/2008 09:00,69.7,35.8
02/01/2008 10:00,58.8,33.7
02/01/2008 11:00,59.1,30
02/01/2008 12:00,59.3,29.4
02/01/2008 13:00,64.6,27
02/01/2008 14:00,56.2,22.9
02/01/2008 15:00,44.4,21.3
02/01/2008 16:00,45.2,21
02/01/2008 17:00,40.8,13.1
02/01/2008 18:00,78.1,13.8
02/01/2008 19:00,48,15.6
02/01/2008 20:00,60.7,17.4
02/01/2008 21:00,90.6,22
02/01/2008 22:00,85.6,14.9
02/01/2008 23:00,88.4,19.1
39450,83.6,15.8
03/01/2008 01:00,74.4,15.4
03/01/2008 02:00,72.9,13.9
03/01/2008 03:00,&lt;Samp,13.1
